what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546954478780
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546954481937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546954482179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546954482182
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546954485963
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546954490287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955006434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955101441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546955102713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955106583
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546955109906
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546955113043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955113406
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546955113408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955116741
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546955117184
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546955121148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955255230
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546955256335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955306472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955337828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1546955355713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1546955357045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955360041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955360949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1546955363176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955387989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955417642
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546955419127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955423703
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546955426903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955435000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955437952
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546955439713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955440028
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546955440036
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546955444020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955447590
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546955448251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546955559333
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546955560497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546956537854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957305333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957305540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957309950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957314851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957536267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546957602382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546960891203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1546960898976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546960899713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546960989063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1546960998647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1546961001398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1546961011832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546961012589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961015329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961023499
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546961024381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961026182
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546961027504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961027873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546961027876
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546961032222
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546961036135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961044033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961078354
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546961079927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961083628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961085878
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546961086632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961088500
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546961089799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546961090030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546961090033
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546961094156
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546961098379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962163513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962210083
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962212331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1546962287349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1546962323998
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546962330681
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962334623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1546962336137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546962336602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962339273
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546962342501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962349615
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1546962350913
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962352666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1546962365894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546962366597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962370007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962374667
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546962375394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962375837
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546962379143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962379515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546962379519
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546962383437
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546962387625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962485612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962486894
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962487715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962488236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962488432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962489251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962489697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962489805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962490001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962490177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962490995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962491017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962491037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962491197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962491437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962491555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962492016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962492494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962492511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962492900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962493498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962493982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962494641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1546962496524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1546962498698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1546962501044
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546962644567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962703538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962706970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962707805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962708494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1546962709993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1546962717096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1546962720838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1546962731999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1546962732188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1546962755008
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1546962755623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962760024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962764150
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1546962764921
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546962768116
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1546962768406
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1546962771892
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1546962775975
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1546962851960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962911629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962919025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1546962922299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546962976300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1546963001188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1546963063439
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1546963065870
